game_name,meta_score,user_score,platform,description,url,developer,genre,type,rating
Persona 5 Royal,95.0,84.0,['playstation-4'],"Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.",https://www.metacritic.com/game/playstation-4/persona-5-royal,Atlus,"['Role-Playing', 'Japanese-Style']",singleplayer,M
The Last of Us Remastered,95.0,92.0,['playstation-4'],"The Last of Us has been rebuilt for the PlayStation4 system. Now featuring full 1080p, higher resolution character models, improved shadows and lighting, in addition to several other gameplay improvements. 20 years after a pandemic has radically changed known civilization, infected humans run wild and survivors are killing each other for food, weapons; whatever they can get their hands on. Joel, a violent survivor, is hired to smuggle a 14 year-old girl, Ellie, out of an oppressive military quarantine zone, but what starts as a small job soon transforms into a brutal journey across the U.S. The Last of Us Remastered includes the Abandoned Territories Map Pack, Reclaimed Territories Map Pack, and the critically acclaimed The Last of Us: Left Behind Single Player campaign that combines themes of survival, loyalty, and love with tense, survival-action gameplay.

Remastered Features:
-Explore a brutal post-pandemic world, fully realized with the power of PlayStation4 system
-Includes additional game content: over $30 in value
-Delve into Ellies past in Left Behind, the single-player prequel chapter
-Eight new multiplayer maps in the Abandoned and Reclaimed Territories packs
-In-game cinematic commentary from the cast and creative director",https://www.metacritic.com/game/playstation-4/the-last-of-us-remastered,Naughty Dog,"['Action Adventure', 'General', 'Modern']",multiplayer,M
The Legend of Zelda: Ocarina of Time 3D,94.0,90.0,['3ds'],"The Legend of Zelda: Ocarina of Time 3D takes the best-reviewed game of all time for a brand-new experience. Now in 3D all of the graphic textures and colors have been vastly improved, taking advantage of the considerable graphic power of the Nintendo 3DS system. This game tells the epic story of Hyrule and Link™, Zelda™, and Ganondorf in remarkable depth and gives context to the many tales of their struggles. As such, this title represents a perfect entry point for players new to the Zelda franchise. Phenomenally Improved Graphics Beyond even the incredible 3D effect, every graphic texture and character model has been lovingly built from the ground up to create the most dynamic and vivid vision of Zelda’s kingdom yet. This is Hyrule as you’ve always imagined it. Playing the Ocarina Link needs to play the eponymous Ocarina of Time many, many times over the course of the game. This involves a specific series of button presses to play one of the twelve songs in the game. In the original title, you would need to assign the ocarina to an item slot, then likely review the button prompts to your song, then play them from memory. The Nintendo 3DS version has the ocarina constantly available on the Touch Screen, and playing with the button prompts for each song right in front of you. Enhanced Game play While the greatest care has been taken to preserve the classic game play and story, a number of new features make this the definitive version of this extraordinary game.",https://www.metacritic.com/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,GREZZO,"['Miscellaneous', 'Fantasy', 'Compilation', 'Action Adventure', 'Open-World']",singleplayer,E10+
Chrono Cross,94.0,88.0,['playstation'],"Featuring a storyline developed by the creator of Chrono Trigger and Xenogears, Chrono Cross has been christened the ""Best RPG Creation"" by its development team. With multiple scenarios cast along a single story thread, and many different endings, each replay can result in an entirely new adventure. In addition, a brand new battle system makes combat smooth and innovative by introducing an element field system and combo system that gives the player unparalleled flexibility in their fighting options. The elimination of random battles also quickens the pace of the game, and places the choice of where to battle in the player's hands. With character designs by a famed Japanese illustrator and music by the original Chrono Trigger composer, Chrono Cross features visuals and sounds that bring its magic to life.",https://www.metacritic.com/game/playstation/chrono-cross,SquareSoft,"['Role-Playing', 'Console-style RPG']",singleplayer,T
Gears of War,94.0,84.0,['xbox-360'],"Gears of War blends tactical action with survival horror and thrusts gamers into a deep and harrowing story of humankind's epic battle for survival against the Locust Horde, a nightmarish race of creatures that surface from the bowels of the planet. Lead war hero Marcus Fenix and his fire team as they face the onslaught of merciless warrior fiends. A revolutionary tactical combat system and breathtaking, high-definition visuals from the Unreal Engine 3 immerse you in a horrifying story of war and survival. A.I. teammates are indiscernable from human players. Voice recognition and real-time lip synching heighten the experience. The battlefield is a lethal place. To survive, suppress your enemy with blindfire, take cover in interactive environments, or use weapons and teammates to outwit your foes. [Microsoft]",https://www.metacritic.com/game/xbox-360/gears-of-war,Epic Games,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Sid Meier's Civilization II,94.0,88.0,['pc'],"An empire-building turn-based strategy game. The game starts at the Old Stone Age in 4000 BC. Your tribe begins with a Settlers unit and has no knowledge about the surrounding area. As you found new cities and explore the surroundings, you may find hostile barbarians, villages, and other competing cultures. [Civ Fantatics' Center]",https://www.metacritic.com/game/pc/sid-meiers-civilization-ii,MPS Labs,"['Strategy', 'Turn-Based', 'Historic', 'General', '4X']",singleplayer,K-A
Halo 3,94.0,81.0,['xbox-360'],"Halo 3 is the third game in the Halo Trilogy and provides the thrilling conclusion to the events begun in ""Halo: Combat Evolved."" Halo 3 picks up where ""Halo 2"" left off. The Master Chief is returning to Earth to finish the fight. The Covenant occupation of Earth has uncovered a massive and ancient object beneath the African sands - an object who's secrets have yet to be revealed. Earth's forces are battered and beaten. The Master Chief's AI companion Cortana is still trapped in the clutches of the Gravemind - a horrifying Flood intelligence, and a civil war is raging in the heart of the Covenant. This is how the world ends... [Bungie]",https://www.metacritic.com/game/xbox-360/halo-3,Bungie Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Ninja Gaiden Black,94.0,88.0,['xbox'],"In Ninja Gaiden Black you can reprise the role of Ryu Hayabusa, ninja extraordinaire. This sequel to Ninja Gaiden supplies a new story and new missions, plus two more difficulty settings and cinematic cut scenes that provide background about the protagonist. Ninja Gaiden Black also incorporates the additional content from Hurricane Packs 1 and 2 and includes unlockable content such as the original arcade version of Ninja Gaiden. Ninja Gaiden Black includes online features for keeping track of karma points on the online leader board.",https://www.metacritic.com/game/xbox/ninja-gaiden-black,Team Ninja,"['Action Adventure', 'Fantasy']",singleplayer,M
Super Mario Advance 4: Super Mario Bros. 3,94.0,89.0,['game-boy-advance'],"A combination of exciting platforming action, wild power-ups, and charming Mario style has made Super Mario Bros. 3 a classic.  With Super Mario Advance 4: Super Mario Bros. 3, you have your chance to partake in the special adventure anywhere you go on your Game Boy Advance.  Your mission is to rescue the Mushroom Kingdom monarchs who have been transformed into animals by Bowser and his mischievous offspring, and in the process save the princess kidnapped by Bowser.  Traverse eight huge worlds and encounter fun minigames and frantic boss battles as you explore the first Mario game to use an overworld map.",https://www.metacritic.com/game/game-boy-advance/super-mario-advance-4-super-mario-bros-3,Nintendo,"['Action', 'Platformer', '2D']",multiplayer,E
Jet Grind Radio,94.0,83.0,['dreamcast'],"Join a graffiti crew, stamp your territory and protect it from rival taggers, but watch out for the angry cops!",https://www.metacritic.com/game/dreamcast/jet-grind-radio,Smilebit,"['Action', 'Platformer', '3D']",,T
Grim Fandango,94.0,91.0,['pc'],"Something's rotten in the Land of Dead and you're being played for a sucker.  Meet Manny Calavera, travel agent at the Department of Death. He sells luxury packages to souls on their four-year journey to eternal rest. But there's trouble in paradise.  Help Manny untangle himself from a conspiracy that threatens his very salvation. [LucasArts]",https://www.metacritic.com/game/pc/grim-fandango,LucasArts,"['Adventure', 'General', '3D', 'Third-Person', 'Fantasy']",singleplayer,T
Resident Evil Code: Veronica,94.0,85.0,['dreamcast'],"Resident Evil Code: Veronica takes up the story of Claire Redfield, a character from Resident Evil 2. In that game she was searching for her brother Chris (a missing S.T.A.R.S. member) and in Resident Evil Code: Veronica we follow her to Europe where she continues her search at Umbrella headquarters.",https://www.metacritic.com/game/dreamcast/resident-evil-code-veronica,NexTech,"['Action Adventure', 'Survival']",singleplayer,M
Diablo,94.0,87.0,['pc'],"The kingdom of Khandaras has fallen into chaos. An unknown force of evil has swept across the land. Plunging it nto civil war and terrorizing the populace. A mad king, his missing son, and a mysterious archbishop are all pieces to the puzzle that faces you. You have journeyed to the source of the evil. The town of Tristram. Now inhabited by only a handful of survivors. The catherdal there is buildt over the ruins of an ancient monastary, and now eerie lights and sounds are heard echoing through its abandoned halls. Perhaps the answer lies withing the remains of a forgotten past... Diablo invites you to enter a world of dark gothic fantasy. Play as a brave warrior, cunning rogue or mysterious sorceror. As you venture deeper into the labyrinth, you'll discover weapons, armor, and magical treasures, and develop your character's skills and abilities. [Blizzard]",https://www.metacritic.com/game/pc/diablo,Blizzard Entertainment,"['Role-Playing', 'Action RPG']",multiplayer,M
Metal Gear Solid 3: Subsistence,94.0,91.0,['playstation-2'],"Metal Gear goes online for the first time in Metal Gear Solid 3 Subsistence! Players can battle or team up with up to 7 other friends for online dominance. Featuring different gameplay modes, new camera system, and robust online play, Subsistence is the game that gives players a brand new Metal Gear experience. Includes MGS3 Snake Eater and all new Online Modes, including Death Match, Team Death Match, Sneaking Mission, Capture Mission, and Rescue Mission. Third Person Camera system gives players more control. Bonus Metal Gear and Metal Gear 2 Solid Snake games which have never been released before in the North America. Demo Theater, Duel Mode, and new stages for Snake vs. Monkey mini-game. [Konami]",https://www.metacritic.com/game/playstation-2/metal-gear-solid-3-subsistence,Aspect,"['Action Adventure', 'Modern']",multiplayer,M
Metal Gear Solid 4: Guns of the Patriots,94.0,88.0,['playstation-3'],"Metal Gear Solid 4: Guns of the Patriots features an aging and exhausted Solid Snake in the middle of a futuristic battlefield. In spite of his failing body, Snake is equipped with a crucial new device tentatively known as ""OctoCamo,"" a high-tech suit that dynamically transforms its texture based on Snake's surroundings. This revolutionary new gameplay mechanic allows him to seamlessly blend into the environment, providing him with the means to stalk his enemies like never before. This latest chapter in Hideo Kojima's legendary tactical espionage actin series marks the return of several characters from previous Metal Gear Solid games including Revolver Ocelot, Meryl Silverburgh, Naomi Hunter and Raiden, and features an unforgettable story that depicts the desperate state of the future as seen through the eyes of an older Solid Snake. [Konami]",https://www.metacritic.com/game/playstation-3/metal-gear-solid-4-guns-of-the-patriots,Kojima Productions,"['Action Adventure', 'Modern', 'General']",multiplayer,M
Sid Meier's Civilization IV,94.0,82.0,['pc'],"Faster-Paced Fun - Gameplay has been streamlined for a tighter, faster, and more compelling experience.Greater Accessibility and Ease of Play - An easy-to-use interface will be immediately familiar to RTS and action game players, and newcomers to the series will be able to jump in and play. Tech Tree - Flexible Tech tree allows players more strategic choices for developing their civilizations along unique paths. More Civs, Units, and Improvements to enhance and grow your empire. Multiplayer -LAN, Internet, PBEM, and Persistent Turn-Based Server (PTBS) offer players all-new strategies and ways to play when competing or cooperating with live opponents. Team Play - Whether playing multiplayer or single player, team play offers a new way of setting locked alliances that result in shared wonder effects, visibility, unit trading, and shared territory that delivers a plethora of new strategic and tactical options. Civ IV comes to life! - Beautiful 3D world with dozens of fully animated units (including culturally unique units), and totally customizable armies. Cities and wonders will appear on the map. Wonder movies are back! [2K Games]",https://www.metacritic.com/game/pc/sid-meiers-civilization-iv,Firaxis Games,"['Strategy', 'Turn-Based', 'Historic', '4X']",multiplayer,E10+
Virtua Fighter 4,94.0,81.0,['playstation-2'],"Two new characters (Lei Fei and Vanessa Lewis) join 11 VF veterans, each with their own unique styles based on real martial arts. New counters and defensive moves allow players to switch up their stances and fighting styles mid-bout. Train a computer-controlled character through sparring and an easy-to-use rewards system, then pit your character against a friend's or challenge the arcade mode. [Sega]",https://www.metacritic.com/game/playstation-2/virtua-fighter-4,Sega AM2,"['Action', 'Fighting', '3D']",multiplayer,T
Super Mario 64,94.0,91.0,['nintendo-64'],"Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive sound track, Super Mario 64 becomes a new standard for video games. It's packed with bruising battles, daunting obstacle courses and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch nemesis - Bowser, King of the Koopas!",https://www.metacritic.com/game/nintendo-64/super-mario-64,Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E
Super Smash Bros. Brawl,93.0,88.0,['wii'],"[Metacritic's 2008 Wii Game of the Year]  Super Smash Bros. Brawl is the next installment in the Smash Bros. series for the company's Wii console. Among the new characters playable in the game are Meta Knight, the sword-wielding nemesis of Kirby; Pit, the angelic archer from Kid Icarus; Zero Suit Samus, the powerful Metroid series heroine minus her versatile armor; and Wario, who demonstrates a noxious attack of gastronomic proportions. Also Snake, the gritty soldier from Konami's hugely popular Metal Gear series. [Nintendo]",https://www.metacritic.com/game/wii/super-smash-bros-brawl,Game Arts,"['Action', 'Fighting', '3D', '2D']",multiplayer,T
Company of Heroes,93.0,87.0,['pc'],"A real-time strategy game set in World War II, Company of Heroes brings to life, in full cinematic detail, the greatest war mankind has ever known. Company of Heroes is built on Relic's next-generation Essence Engine and also utilizes the Havok Physics engine, delivering cinematic visual detail in a world completely driven by realistic physics. Gamers will experience the journey of the brave men of Able Company in a deep single-player campaign that begins with the invasion of Normandy through their fight across Europe, all set against the most dynamic battlefield ever seen in a game. Company of Heroes' completely destructable environment means no two battles ever play out in the same way. Advanced squad AI delivers startling new realism and responsiveness, bringing soldiers to life as they interact with the environment and execute advanced squad tactics to eliminate the opposition forces. [THQ]",https://www.metacritic.com/game/pc/company-of-heroes,Relic,"['Strategy', 'Real-Time', 'Historic', 'General']",multiplayer,M
Gran Turismo 2,93.0,90.0,['playstation'],The world's most advanced racing game returns with thunderous new features.,https://www.metacritic.com/game/playstation/gran-turismo-2,Polyphony Digital,"['Driving', 'Racing', 'GT / Street']",multiplayer,T
The Last of Us Part II,93.0,57.0,['playstation-4'],"Five years after their dangerous journey across the post-pandemic United States, Ellie and Joel have settled down in Jackson, Wyoming. Living amongst a thriving community of survivors has allowed them peace and stability, despite the constant threat of the infected and other, more desperate survivors. When a violent event disrupts that peace, Ellie embarks on a relentless journey to carry out justice and find closure. As she hunts those responsible one by one, she is confronted with the devastating physical and emotional repercussions of her actions.",https://www.metacritic.com/game/playstation-4/the-last-of-us-part-ii,Naughty Dog,"['General', 'Action Adventure', 'Survival']",singleplayer,M
Half-Life: Alyx,93.0,92.0,['pc'],"Half-Life: Alyx is Valve's VR return to the Half-Life series. It's the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity's only chance for survival. The Combine's control of the planet since the Black Mesa incident has only strengthened as they corral the remaining population in cities. Among them are some of Earth's greatest scientists: you and your father, Dr. Eli Vance. As founders of a fledgling resistance, you've continued your clandestine scientific activityperforming critical research, and building invaluable tools for the few humans brave enough to defy the Combine. Every day, you learn more about your enemy, and every day you work toward finding a weakness.

ABOUT GAMEPLAY IN VR:

Valve's return to the Half-Life universe that started it all was built from the ground up for virtual reality. VR was built to enable the gameplay that sits at the heart of Half-Life.

Immerse yourself in deep environmental interactions, puzzle solving, world exploration, and visceral combat.

Lean to aim around a broken wall and under a Barnacle to make an impossible shot. Rummage through shelves to find a healing syringe and some shotgun shells. Manipulate tools to hack alien interfaces. Toss a bottle through a window to distract an enemy. Rip a Headcrab off your face and throw it at a Combine soldier.

Extra content for Index owners
Customers who have purchased Valve Index hardware by the end of 2019 will have access to unique bonuses starting early next year:

* Explore environments from Half-Life: Alyx in your SteamVR Home space
* Alternate gun skins to embellish Alyx's arsenal
* Special Half-Life: Alyx-themed content for Counter-Strike: Global Offensive and Dota 2

Community-built environments

* A set of Source 2 tools for building new environments will ship with the game, enabling any player to build and contribute new environments for the community to enjoy. Hammer, Valve's level authoring tool, has been updated with all of the game's virtual reality gameplay tools and components.",https://www.metacritic.com/game/pc/half-life-alyx,Valve Software,"['Action', 'First-Person', 'Shooter', 'Arcade']",singleplayer,
Divinity: Original Sin II,93.0,88.0,['pc'],"Master deep, tactical combat. Join up to 3 other players - but know that only one of you will have the chance to become a God.",https://www.metacritic.com/game/pc/divinity-original-sin-ii,Larian Studios Games,"['Action RPG', 'Role-Playing', 'Western-Style']",multiplayer,
